X,Y
0,0
400,246
8000,467
2323,759
4235,585
546,999
543,587
667,34
879,232
209,211
546,135
456,235
546,325
23,255
4,144
6890,557
122,879
497,668
67,807
5467,707
547,989
412,576
324,573
567,368
89,80
321,76
6788,345
346,845
267,415
444,233
299,211
269,146
5799,436
564,14
2,336
322,46
123,343
146,366
1670,87
5692,799
67,766
4689,679
53,669
2355,987
2346,777
53,567
3553,546
36,452
589,234
5427,333
333,1926
368,2177
451,674
503,803
649,1937
1004,1007
1224,1400
1477,1251
1555,414
1781,1097
2348,1088
2370,2330
2663,1783
3001,1878
3062,1348
3121,2008
3437,1359
3535,847
3715,818
3963,1802
4341,2259
4604,1704
5096,1678
5415,447
5680,1262
5784,1544
5851,810
6080,2184
6417,952
6578,1226
6597,1750
6721,1863
6809,2303
6937,2023
7074,497
7164,1251
7219,1877
7449,1191
7739,729
7924,773
